particle_size,5_500_1_00,5_500_1_01,5_500_1_02,5_500_2_00,5_500_2_01,5_500_2_02,10_500_1_00,10_500_1_01,10_500_1_02,10_500_2_00,10_500_2_01,10_500_2_02,15_500_1_00,15_500_1_01,15_500_1_02,15_500_2_00,15_500_2_01,15_500_2_02,24_800_1_00,24_800_1_01,24_800_1_02,24_800_2_00,24_800_2_01,24_800_2_02,29_500_1_00,29_500_1_01,29_500_1_02,29_500_2_00,29_500_2_01,29_500_2_02,31_500_1_00,31_500_1_01,31_500_1_02,31_500_2_00,31_500_2_01,31_500_2_02
210.5,2585444,4822958,2984991,4280559,3221362,2840731,424949,847269,833516,606615,580137,829159,1233455,106207,714088,861729,550548,935258,1152675,491263,563073,752035,491264,444762,201222,842216,1264955,2336206,128683,1562438,959995,692424,568586,1008441,489678,1050475
211.5,2497220,4760339,2981858,4185404,3156647,2792779,406487,846166,820524,529867,578922,851487,1204417,103248,700334,809530,569341,927654,1149175,465392,526322,755576,477660,456452,194061,839530,1259647,2260193,113483,1554668,966315,696862,577361,952312,509141,1045809
212.5,2417262,4685389,2979207,4078973,3094689,2745477,389719,842958,806233,458960,576488,873987,1171321,101922,686199,759914,588157,920240,1144300,440256,491816,760129,465049,469421,189214,837986,1255087,2182676,101181,1545571,968826,698506,586662,897723,532584,1039219
213.5,2345328,4598822,2976673,3961820,3035708,2698532,374593,837424,790738,394436,572808,896374,1134760,102163,671671,713105,606710,912599,1137940,415974,459559,765583,453313,483627,186534,837455,1251091,2104432,91277,1535138,967365,697265,596446,845485,560290,1030625
214.5,2281149,4501376,2973896,3834804,2979878,2651663,361056,829392,774156,336557,567875,918338,1095357,103963,656752,669248,624696,904310,1129998,392650,429528,771818,442343,499017,185927,837814,1247475,2026161,83369,1523389,961862,693120,606668,796251,592555,1019978
215.5,2224435,4393805,2970529,3699056,2927323,2604605,349050,818743,756619,285332,561710,939552,1053748,107365,641460,628423,641805,894952,1120393,370368,401677,778711,432044,515527,187348,838946,1244056,1948479,77141,1510371,952339,686120,617280,750521,629675,1007268
216.5,2174884,4276873,2966236,3555931,2878122,2557114,338515,805422,738269,240560,554357,959671,1010556,112465,625826,590652,657719,884117,1109061,349192,375939,786135,422330,533079,190798,840735,1240660,1871915,72343,1496155,938914,676383,628231,708653,671930,992519
217.5,2132187,4151355,2960697,3406956,2832312,2508970,329393,789438,719259,201877,545881,978342,966378,119414,609894,555909,672131,871418,1095962,329171,352233,793955,413124,551581,196319,843070,1237116,1796909,68786,1480832,921789,664088,639463,670880,719561,975789
218.5,2096034,4018034,2953612,3253766,2789887,2459980,321625,770867,699740,168807,536369,995210,921774,128418,593720,524129,684748,856504,1081076,310335,330467,802034,404363,570926,203993,845846,1233262,1723816,66327,1464512,901250,649467,650917,637332,772749,957169
219.5,2066114,3877707,2944700,3098046,2750801,2409980,315155,749850,679865,140802,525924,1009928,877251,139742,577370,495218,695301,839073,1064407,292697,310544,810231,395989,590988,213943,848957,1228948,1652914,64867,1447319,877650,632792,662524,608057,831582,936776
220.5,2042118,3731185,2933707,2941470,2714973,2358843,309930,726587,659782,117287,514664,1022162,833261,153711,560918,469061,703556,818884,1045983,276260,292359,818403,387956,611623,226322,852303,1224034,1584410,64343,1429386,851394,614368,674209,583045,896012,914758
221.5,2023739,3579299,2920401,2785649,2682286,2306471,305898,701333,639631,97687,502717,1031606,790193,170712,544444,445528,709322,795772,1025859,261012,275811,826407,380226,632670,241316,855786,1218394,1518444,64726,1410853,822928,594517,685889,562245,965821,891280
222.5,2010671,3422903,2904580,2632084,2652590,2252807,303012,674387,619542,81455,490219,1037987,748376,191196,528032,424482,712457,769658,1004111,246932,260794,834097,372769,653950,259139,859311,1211918,1455104,66017,1391864,792718,573569,697472,545585,1040572,866525
223.5,2002608,3262876,2886073,2482130,2625700,2197830,301226,646080,599632,68084,477310,1041074,708077,215672,511768,405779,712873,740557,980838,233992,247208,841333,365562,675266,280020,862787,1204511,1394428,68247,1372558,761237,551847,708858,532988,1119568,840690
224.5,1999242,3100121,2864738,2336968,2601403,2141552,300496,616762,580007,57120,464127,1040689,669502,244698,495739,389279,710538,708585,956158,222157,234955,847977,358588,696408,304200,866127,1196098,1336419,71479,1353073,728948,529667,719937,524376,1201811,813975
225.5,2000259,2935563,2840466,2197595,2579453,2084026,300781,586794,560755,48162,450809,1036711,632806,278870,480030,374843,705479,673955,930210,211386,223941,853895,351839,717152,331915,869246,1186621,1281044,75807,1333540,696296,507320,730588,519687,1285974,786587
226.5,2005338,2770147,2813178,2064809,2559575,2025336,302039,556531,541952,40864,437486,1029082,598096,318796,464722,362338,697780,636977,903144,201640,214079,858962,345311,737264,363382,872064,1176040,1228250,81357,1314077,663691,485072,740683,518874,1370385,758730
227.5,2014147,2604825,2782831,1939220,2541468,1965598,304229,526314,523658,34934,424282,1017808,565432,365064,449892,351637,687576,598045,875125,192873,205285,863062,339002,756504,398780,874505,1164336,1177963,88294,1294793,631503,463159,750084,521904,1453034,730601
228.5,2026338,2440552,2749410,1821259,2524800,1904957,307307,496462,505918,30127,411311,1002964,534841,418196,435611,342623,675049,557622,846324,185043,197483,866089,332919,774631,438224,876499,1151507,1130099,96821,1275782,600059,441786,758646,528764,1531610,702391
229.5,2041549,2278270,2712933,1711188,2509216,1843584,311228,467259,488766,26239,398677,984687,506318,478600,421947,335182,660420,516227,816918,178107,190601,867949,327070,791406,481741,877980,1137572,1084564,107187,1257125,569636,421123,766217,539445,1603561,674277
230.5,2059395,2118893,2673446,1609126,2494334,1781670,315944,438955,472219,23104,386471,963175,479832,546499,408956,329212,643938,474408,787085,172026,184576,868562,321464,806596,529244,878887,1122565,1041260,119687,1238885,540463,401309,772644,553942,1666196,646424
