particle_size,1_250_1_00,1_250_1_01,1_250_1_02,1_250_2_00,1_250_2_01,1_250_2_02,2_500_1_00,2_500_1_01,2_500_1_02,2_500_2_00,2_500_2_01,2_500_2_02,3_500_1_00,3_500_1_01,3_500_1_02,3_500_2_00,3_500_2_01,3_500_2_02,4_500_1_00,4_500_1_01,4_500_1_02,4_500_2_00,4_500_2_01,4_500_2_02,5_500_1_00,5_500_1_01,5_500_1_02,5_500_2_00,5_500_2_01,5_500_2_02,6_250_1_00,6_250_1_01,6_250_1_02,6_250_2_00,6_250_2_01,6_250_2_02,6_500_1_00,6_500_1_01,6_500_1_02,7_250_1_00,7_250_1_01,7_250_1_02,7_500_1_00,7_500_1_01,7_500_1_02,7_500_2_00,7_500_2_01,7_500_2_02,8_500_1_00,8_500_1_01,8_500_1_02,8_500_2_00,8_500_2_01,8_500_2_02,9_500_1_00,9_500_1_01,9_500_1_02,9_500_2_00,9_500_2_01,9_500_2_02,10_500_1_00,10_500_1_01,10_500_1_02,10_500_2_00,10_500_2_01,10_500_2_02,11_500_1_00,11_500_1_01,11_500_1_02,11_500_2_00,11_500_2_01,11_500_2_02,12_500_1_00,12_500_1_01,12_500_1_02,12_500_2_00,12_500_2_01,12_500_2_02,13_500_1_00,13_500_1_01,13_500_1_02,13_500_2_00,13_500_2_01,13_500_2_02,14_500_1_00,14_500_1_01,14_500_1_02,14_500_2_00,14_500_2_01,14_500_2_02,15_500_1_00,15_500_1_01,15_500_1_02,15_500_2_00,15_500_2_01,15_500_2_02,16_500_1_00,16_500_1_01,16_500_1_02,16_500_2_00,16_500_2_01,16_500_2_02,17_500_1_00,17_500_1_01,17_500_1_02,17_500_2_00,17_500_2_01,17_500_2_02,28_500_1_00,28_500_1_01,28_500_1_02,18_500_1_00,18_500_1_01,18_500_1_02,18_500_2_00,18_500_2_01,18_500_2_02,28_500_2_00,28_500_2_01,28_500_2_02,19_500_1_00,19_500_1_01,19_500_1_02,19_500_2_00,19_500_2_01,19_500_2_02,20_500_1_00,20_500_1_01,20_500_1_02,20_500_2_00,20_500_2_01,20_500_2_02,21_500_1_00,21_500_1_01,21_500_1_02,21_500_2_00,21_500_2_01,21_500_2_02,22_500_1_00,22_500_1_01,22_500_1_02,22_500_2_00,22_500_2_01,22_500_2_02,23_500_1_00,23_500_1_01,23_500_1_02,23_500_2_00,23_500_2_01,23_500_2_02,24_800_1_00,24_800_1_01,24_800_1_02,24_800_2_00,24_800_2_01,24_800_2_02,25_500_1_00,25_500_1_01,25_500_1_02,25_500_2_00,25_500_2_01,25_500_2_02,26_500_1_00,26_500_1_01,26_500_1_02,26_500_2_00,26_500_2_01,26_500_2_02,27_500_1_00,27_500_1_01,27_500_1_02,27_500_2_00,27_500_2_01,27_500_2_02,29_800_1_00,29_800_1_01,29_800_1_02,29_800_2_00,29_800_2_01,29_800_2_02,30_800_1_00,30_800_1_01,30_800_1_02,30_800_2_00,30_800_2_01,30_800_2_02,31_500_1_00,31_500_1_01,31_500_1_02,31_500_2_00,31_500_2_01,31_500_2_02,32_500_1_00,32_500_1_01,32_500_1_02,32_500_2_00,32_500_2_01,32_500_2_02,33_500_1_00,33_500_1_01,33_500_1_02,33_500_2_00,33_500_2_01,33_500_2_02,34_500_1_00,34_500_1_01,34_500_1_02,34_500_2_00,34_500_2_01,34_500_2_02,35_500_1_00,35_500_1_01,35_500_1_02,35_500_2_00,35_500_2_01,35_500_2_02,36_500_1_00,36_500_1_01,36_500_1_02,36_500_2_00,36_500_2_01,36_500_2_02
247.5,97877,3,0,184,7063,93345,0,1927,662,3801,26528,37397,20847,180,6345,15488,2760,172097,182527,121241,163,0,34,38773,988,157508,81082,165799,434702,71526,3227,0,43694,0,7301,134577,96598,50026,17,50100,149346,0,0,0,111094,109460,24357,8266,479477,111412,477,22,59416,3057,73288,450386,135924,525,443915,192353,261,667,173934,11990,9305,824,0,0,3887,225551,99036,118088,155501,5269,5578,0,300434,0,516,7,4384,144591,25,514969,3548,2127,43278,490,1632,32004,87,148,0,37979,42511,6390,63836,0,189,161115,51972,14815,37082,893,0,0,856,48962,131954,73656,1,2622,6281,140637,62,490259,3682,19994,128008,48613,23291,0,106,2471,173440,46904,345399,5205,133801,219,109,0,99688,231189,239703,129673,274488,9362,22203,138787,955,1908,51403,48689,135,105211,11394,273497,66302,8256,137081,88233,63623,22004,19235,79067,667,77902,39118,163570,115846,94745,168729,197,0,14,87550,2581,39326,389,0,13692,1049,228,59542,0,802938,4005,113410,50043,17091,0,0,0,0,112,63095,41302,4144,29346,113591,16,61994,294399,711559,90283,34777,19119,1815,18559,0,7642,0,38505,32293,89202,245,251752,51693,634,13008,239439,17210,375251,319019,140081,24452,17,0,5546,105989,254764
248.5,88974,2,0,105,7678,90530,0,1828,690,1826,33189,34375,20019,306,4206,13843,1971,150268,190758,100318,190,0,26,40611,1021,158717,77470,166936,395858,78892,3127,0,34591,0,6058,142653,91393,45559,10,55443,119552,0,0,0,116118,100790,21859,8523,509311,102430,511,15,49201,3509,84613,449945,137405,330,442145,194218,201,723,158046,10800,10219,597,0,0,3139,238375,94423,116856,188505,4664,5311,0,268326,0,587,7,5641,126481,24,527573,3000,1868,36991,413,1045,26454,70,168,2,31976,37661,5906,76484,2,120,169719,61987,13679,31522,601,0,0,663,49151,128808,69672,1,2247,4063,143619,64,464503,4500,25077,120558,42992,23125,0,136,1876,166146,47369,357157,4243,140666,169,140,0,96059,203560,241721,119314,264072,11543,25689,148133,813,1735,54060,44121,80,96560,11829,242974,65055,8678,135079,87457,71417,19107,17444,86661,825,64986,33552,141372,109621,89043,180447,168,0,16,85957,3655,41321,171,0,10838,606,85,53534,0,811649,3970,115352,46166,19219,0,0,0,0,143,53449,43415,4399,34093,117296,16,66455,298976,693842,90739,34630,18810,3140,13009,0,6679,0,33177,29422,70799,176,202086,55067,504,8942,227337,14250,381318,305075,138096,16303,15,0,5304,111299,246220
249.5,80640,1,0,59,8367,87284,0,1749,729,837,40682,31514,19394,524,2730,12526,1398,128420,197387,80739,224,0,19,42582,1072,160242,74787,168252,356652,87022,3062,0,27138,0,5055,149286,86143,41390,5,61073,92998,0,0,0,120862,92186,19324,8839,523599,93777,554,10,40270,4028,97280,445404,138822,205,436604,195503,154,790,142243,9771,11197,429,0,0,2564,248045,89574,114647,223386,4133,5077,0,236830,0,671,8,7228,110358,22,538765,2559,1652,31218,354,652,21766,57,193,4,26889,33371,5503,90435,3,77,178549,73368,12689,26543,398,0,0,508,49262,124686,65663,2,1936,2592,146134,68,434882,5565,31565,113371,37797,22813,0,177,1419,156680,47939,369210,3479,147856,131,182,0,92860,177040,243143,109603,253533,14208,29847,158162,697,1584,56918,39852,47,87382,12315,215273,64328,9168,133218,86956,79990,16720,15823,94968,1034,53890,28587,121530,104043,83581,191864,143,0,17,84406,5130,43493,73,0,8513,342,30,48333,0,786458,3962,117028,42521,21483,0,0,0,0,191,45391,45892,4764,39694,121148,16,71387,302424,667798,91901,34639,18568,5297,8846,0,5868,0,28274,26879,55502,127,158819,58917,403,6078,213989,11758,386811,290900,136537,10512,13,0,5123,116808,238146
250.5,72889,0,0,33,9133,83653,0,1688,779,367,48826,28811,18959,899,1734,11483,985,107326,202238,63214,269,0,15,44668,1141,162032,72985,169743,317958,95956,3031,0,21110,0,4247,154164,80871,37523,3,66909,70389,0,0,0,125267,83761,16823,9213,520513,85492,610,7,32573,4618,111316,436936,140137,124,427309,196231,117,870,126793,8880,12238,305,0,0,2121,254254,84557,111573,258664,3666,4872,0,206540,0,773,8,9216,96088,21,548394,2203,1472,26004,310,397,17834,47,224,9,22595,29586,5170,105526,6,50,187578,86124,11829,22137,260,0,0,386,49284,119592,61637,2,1679,1631,148001,74,402082,6956,39784,106500,33031,22359,0,231,1071,145480,48610,381392,2870,155333,101,239,0,90053,152061,243910,100546,242925,17441,34791,168819,604,1453,59972,35878,28,77907,12851,190327,64113,9734,131459,86732,89250,14757,14359,103988,1310,44443,24193,103966,99071,78360,202805,120,0,20,82870,7134,45837,30,0,6641,187,10,43839,0,730407,3983,118375,39126,23855,0,0,0,0,263,38641,48756,5262,46256,125119,17,76818,304618,634302,93781,34787,18389,8702,5833,0,5182,0,23822,24626,42992,92,122148,63287,323,4088,199656,9671,391627,276588,135383,6549,11,0,4996,122472,230523
251.5,65721,0,0,18,9978,79696,0,1644,842,153,57343,26264,18704,1542,1077,10673,691,87648,205184,48152,328,0,11,46848,1233,164026,72034,171403,280543,105724,3030,0,16290,0,3596,157039,75601,33955,2,72844,51914,0,0,0,129274,75614,14421,9648,499999,77608,680,4,26035,5287,126712,424829,141313,74,414392,196431,89,966,111931,8108,13339,215,0,0,1779,256867,79438,107766,292545,3256,4690,0,177956,0,895,9,11685,83523,20,556325,1917,1322,21371,277,236,14557,39,264,18,18983,26256,4898,121522,11,32,196773,100208,11086,18286,168,0,0,290,49210,113571,57609,3,1466,1013,149036,83,366916,8778,50090,99985,28689,21773,0,304,807,133046,49371,393509,2386,163049,79,318,0,87606,128958,243973,92137,232301,21328,40649,180028,528,1340,63218,32196,16,68383,13433,168014,64409,10382,129762,86792,99039,13147,13042,113702,1677,36470,20334,88560,94666,73382,213101,101,0,23,81326,9820,48348,12,0,5147,100,3,39963,0,650244,4031,119326,35994,26296,0,0,0,0,374,32970,52028,5919,53887,129175,18,82773,305453,594526,96398,35058,18273,13900,3727,0,4603,0,19833,22629,32921,66,91904,68225,261,2722,184621,7931,395666,262234,134614,3939,10,0,4919,128243,223331
252.5,59128,0,0,10,10905,75476,0,1613,921,61,65878,23870,18622,2629,655,10063,483,69895,206150,35691,405,0,8,49096,1352,166166,71921,173226,245044,116350,3059,0,12480,0,3070,157744,70361,30682,0,78747,37370,0,0,0,132827,67829,12172,10144,463847,70147,768,3,20560,6039,143415,409459,142306,44,398093,196139,66,1079,97855,7436,14496,150,0,0,1514,255920,74279,103372,323055,2894,4527,0,151468,0,1042,11,14724,72513,19,562444,1686,1197,17325,252,137,11844,32,314,38,15954,23333,4681,138121,21,21,206099,115510,10448,14959,106,0,0,216,49032,106710,53595,4,1288,621,149067,96,330284,11170,62844,93851,24762,21066,0,400,608,119892,50217,405334,2000,170945,62,425,0,85486,107968,243289,84363,221714,25956,47558,191683,466,1241,66644,28801,9,59052,14059,148179,65224,11120,128092,87140,109132,11832,11861,124067,2162,29793,16972,75159,90785,68645,222590,84,0,27,79751,13372,51019,5,0,3966,52,0,36624,0,555039,4108,119816,33127,28758,0,0,0,0,547,28185,55727,6775,62681,133278,19,89275,304841,549851,99779,35438,18217,21567,2308,0,4114,0,16311,20857,24934,48,67628,73781,212,1797,169173,6488,398831,247929,134213,2286,9,0,4888,134064,216550
253.5,53094,0,0,5,11915,71062,0,1597,1017,23,74013,21626,18710,4440,390,9629,336,54395,205111,25746,506,0,6,51384,1501,168386,72651,175203,211949,127841,3119,0,9498,0,2646,156217,65178,27694,0,84464,26302,0,0,0,135871,60470,10114,10705,415419,63130,876,2,16042,6880,161322,391272,143076,25,378757,195392,49,1214,84717,6850,15706,104,0,0,1310,251610,69138,98541,348224,2575,4378,0,127350,0,1218,13,18427,62907,18,566661,1500,1093,13851,234,78,9609,27,379,77,13419,20774,4511,154968,38,14,215513,131851,9904,12120,67,0,0,159,48745,99135,49615,5,1140,376,147941,113,293122,14311,78374,88115,21238,20255,0,526,457,106514,51137,416611,1691,178952,48,573,0,83663,89226,241826,77202,211214,31410,55665,203651,415,1156,70239,25685,5,50140,14724,130640,66571,11957,126413,87785,119224,10763,10803,135018,2804,24245,14065,63591,87387,64147,231123,70,0,32,78129,18005,53839,2,0,3040,27,0,33755,0,454455,4215,119788,30526,31184,0,0,0,0,817,24131,59867,7877,72714,137381,21,96340,302722,501783,103954,35909,18219,32474,1384,0,3699,0,13245,19285,18688,35,48660,80006,173,1177,153599,5295,401038,233759,134158,1280,8,0,4900,139870,210154
254.5,47594,0,0,3,13005,66524,0,1594,1135,9,81309,19529,18967,7396,227,9353,234,41292,202102,18078,640,0,5,53681,1688,170618,74247,177326,181600,140188,3209,0,7188,0,2303,152498,60083,24979,0,89820,18135,0,0,0,138355,53585,8273,11329,359093,56567,1012,1,12365,7811,180277,370764,143578,14,356819,194231,36,1373,72628,6339,16962,72,0,0,1152,244268,64065,93419,366294,2293,4240,0,105762,0,1429,15,22891,54558,17,568914,1351,1008,10919,223,43,7778,22,461,151,11302,18537,4385,171664,68,10,224970,148976,9444,9724,41,0,0,116,48345,91006,45693,7,1016,226,145537,136,256350,18436,96906,82782,18097,19356,0,693,344,93354,52122,427056,1443,186989,38,775,0,82112,72776,239565,70629,200846,37765,65123,215773,374,1083,73985,22838,3,41838,15425,115206,68472,12903,124693,88736,128941,9902,9860,146461,3651,19665,11573,53675,84434,59883,238571,57,0,38,76444,23957,56794,0,0,2320,13,0,31295,0,357134,4353,119189,28184,33511,0,0,0,0,1243,20680,64455,9289,84031,141436,24,103978,299064,451858,108962,36458,18280,47408,804,0,3347,0,10615,17890,13870,26,34229,86950,142,765,138172,4312,402208,219804,134431,690,7,0,4954,145593,204116
255.5,42601,0,0,1,14172,61931,0,1604,1279,3,87345,17577,19396,12103,129,9222,162,30561,197208,12359,816,0,3,55952,1922,172791,76754,179581,154195,153363,3332,0,5412,0,2026,146734,55106,22523,0,94627,12275,0,0,0,140234,47206,6662,12018,299580,50463,1179,1,9415,8836,200064,348451,143770,8,332784,192695,27,1560,61657,5891,18258,49,0,0,1031,234326,59107,88145,375920,2044,4110,0,86756,0,1683,19,28211,47328,16,569167,1233,938,8489,216,23,6284,19,566,292,9536,16587,4298,187791,122,7,234417,166559,9063,7726,25,0,0,84,47829,82507,41852,11,912,134,141777,168,220822,23844,118488,77851,15319,18389,0,912,259,80776,53162,436365,1245,194963,30,1052,0,80805,58577,236498,64614,190653,45082,76085,227857,341,1020,77858,20248,2,34293,16156,101679,70956,13965,122902,90006,137852,9219,9020,158272,4762,15907,9454,45227,81887,55848,244828,47,0,47,74686,31487,59868,0,0,1764,6,0,29192,0,269563,4524,117976,26092,35669,0,0,0,0,1915,17729,69487,11091,96630,145388,27,112190,293864,401550,114839,37068,18399,67051,452,0,3048,0,8393,16651,10200,19,23538,94660,117,494,123140,3507,402276,206139,135012,359,7,0,5048,151157,198411
256.5,38084,0,0,0,15410,57349,0,1626,1453,1,91762,15766,20001,19381,72,9230,112,22046,190565,8228,1048,0,3,58162,2213,174831,80235,181957,129805,167313,3489,0,4060,0,1803,139164,50277,20310,0,98695,8174,0,0,2,141465,41351,5282,12772,241237,44819,1387,0,7081,9955,220410,324853,143609,4,307208,190826,19,1780,51832,5497,19584,33,0,0,939,222282,54303,82840,376335,1823,3985,0,70293,0,1987,23,34473,41085,15,567411,1139,881,6508,214,12,5070,16,701,547,8066,14888,4248,202929,215,5,243800,184208,8752,6079,15,1,0,60,47195,73838,38117,16,825,79,136637,212,187280,30910,142892,73313,12880,17374,0,1196,196,69061,54245,444214,1085,202772,24,1432,0,79718,46525,232632,59123,180675,53402,88696,239688,314,967,81834,17904,0,27601,16911,89865,74060,15153,121012,91607,145487,8688,8275,170298,6213,12842,7666,38071,79710,52034,249813,38,0,58,72847,40859,63041,0,0,1337,3,0,27403,0,195595,4731,116118,24239,37589,0,0,0,0,2975,15194,74945,13379,110453,149178,31,120964,287154,352194,121620,37723,18575,91816,247,0,2795,0,6545,15550,7439,15,15824,103179,98,317,108721,2848,401189,192830,135880,180,6,0,5183,156482,193009
