Day,Day_N,Day_mean,Day_sd,Day_se
1,6,139715104291.66666,93547403490.61787,38190567552.37796
5,6,175140479916.66666,119762752753.90538,48892939073.028175
10,6,200464692527.77777,127037317081.34973,51862767523.57674
14,6,309508253822.2222,148738167856.16626,60722102754.00698
17,6,278128224563.8889,207098849988.21808,84547751464.72206
20,6,190163817013.8889,42955874616.59558,17536662377.605194
