particle_size,12_500_1_00,12_500_1_01,12_500_1_02,12_500_2_00,12_500_2_01,12_500_2_02,30_600_2_00,30_600_2_01,30_600_2_02,30_600_1_00,30_600_1_01,30_600_1_02,12_500_12_00,12_500_12_01,12_500_12_02,3_250_2_00,3_250_2_01,3_250_2_02,3_250_1_00,3_250_1_01,3_250_1_02,14_500_2_00,14_500_2_01,14_500_2_02,14_500_1_00,14_500_1_01,14_500_1_02,23_800_2_00,23_800_2_01,23_800_2_02,23_800_1_00,23_800_1_01,23_800_1_02,32_500_2_00,32_500_2_01,32_500_2_02,32_500_1_00,32_500_1_01,32_500_1_02
364.5,2607,39059,25325,0,6084,0,0,18004,25954,0,0,76188,0,0,69508,0,177220,0,0,198975,0,140523,15321,0,36098,140788,257811,0,5508,0,0,0,0,0,19710,61167,54,0,23849
365.5,2848,38373,29684,0,6559,0,0,16824,28539,0,0,86352,0,0,71414,0,148726,0,0,207308,0,171613,15559,0,35894,126823,258933,0,5361,0,0,0,0,0,20175,61019,52,0,23627
366.5,3115,37565,34625,0,7124,0,1,15725,31259,0,0,97466,0,0,73365,0,123124,0,0,213400,0,204985,15809,0,35652,112218,259651,0,5241,0,0,0,0,0,20582,60831,50,0,23362
367.5,3410,36638,40171,0,7793,0,2,14701,34100,0,0,109465,0,0,75361,0,100576,0,0,217032,0,239616,16072,0,35362,97545,259958,0,5146,0,0,0,0,0,20928,60599,48,0,23055
368.5,3735,35595,46328,0,8583,0,2,13747,37046,0,0,122230,0,0,77403,0,81091,0,0,218072,0,274285,16346,0,35019,83311,259850,0,5076,0,0,0,0,0,21208,60319,47,0,22709
369.5,4095,34442,53083,0,9512,0,3,12858,40076,0,0,135579,1,0,79491,0,64554,0,0,216485,0,307647,16631,0,34617,69927,259325,0,5030,0,0,0,0,0,21419,59990,47,0,22324
370.5,4490,33185,60397,0,10604,0,5,12029,43166,0,0,149260,2,0,81623,0,50758,0,0,212330,0,338337,16926,0,34151,57698,258386,0,5008,0,0,0,0,0,21558,59609,46,0,21904
371.5,4926,31835,68202,0,11886,0,7,11255,46290,0,0,162949,3,0,83799,0,39435,0,0,205760,0,365072,17229,0,33616,46817,257037,0,5009,0,0,0,0,0,21623,59172,46,0,21450
372.5,5405,30401,76399,0,13387,0,9,10533,49419,0,0,176249,5,0,86018,0,30286,0,0,197014,0,386748,17540,0,33010,37370,255288,0,5033,0,0,0,0,0,21613,58679,47,0,20965
373.5,5931,28896,84854,0,15143,0,14,9858,52521,0,0,188705,8,0,88278,0,23004,0,0,186394,0,402525,17858,0,32331,29359,253148,0,5082,0,0,0,0,0,21529,58127,47,0,20454
374.5,6509,27332,93399,0,17195,0,20,9228,55564,0,0,199815,14,0,90577,0,17288,0,0,174259,0,411874,18182,0,31579,22712,250632,0,5154,0,0,0,0,0,21369,57514,48,0,19917
