Day,Day_N,Day_mean,Day_sd,Day_se
1,5,144975566100,38487168892.984505,17211985181.245735
5,6,234722109937.5,73806691214.97473,30131455513.307655
10,6,258974135458.3333,101749179328.79062,41538928517.0798
14,7,391625801211.9048,95846005650.89334,36226385015.87932
17,7,306852083854.7619,94238963594.12674,35618980211.78986
20,5,233872142283.33334,21480261988.513123,9606265196.16403
