Nano_day,Day_N,Day_mean,Day_sd,Day_se,Day_cv
1,2,48125217697.91667,617848972.0938057,436885197.91666794,0.012838362123825825
2,2,57205142072.91667,19921324959.028683,14086503968.750002,0.3482436060317081
3,2,44222501541.66667,3429198451.6083426,2424809479.166668,0.07754419881420173
4,2,36833416218.75,11902308912.421041,8416203343.749999,0.32313888132815083
5,2,38474626989.583336,2324782674.254,1643869593.75,0.06042378721133319
6,2,35047495583.33333,7903830149.182082,5588851895.833331,0.22551768728778188
7,2,44769424729.16667,6071491206.6923685,4293192604.166668,0.13561691362848527
