term,comparison,estimate,conf.low,conf.high,adj.p.value
Day,17-1,322393111308.3332,110116732108.52881,534669490508.1376,0.001497938244647723
Day,20-17,-251394949216.66656,-452778004734.15845,-50011893699.17465,0.009630008949095159
Day,17-5,244087094822.22214,14802399823.750183,473371789820.6941,0.032978046376038184
