particle_size,6_500_1_00,6_500_1_01,6_500_1_02,6_500_2_00,6_500_2_01,6_500_2_02,17_500_1_00,17_500_1_01,17_500_1_02,17_500_2_00,17_500_2_01,17_500_2_02,19_500_1_00,19_500_1_01,19_500_1_02,19_500_2_00,19_500_2_01,19_500_2_02,28_500_1_00,28_500_1_01,28_500_1_02,28_500_2_00,28_500_2_01,28_500_2_02,34_500_1_00,34_500_1_01,34_500_1_02,34_500_2_00,34_500_2_01,34_500_2_02
216.5,347050,21451,267404,30337,191326,124959,3194,116564,101837,45865,7,206840,143423,387390,7131,368732,252367,195449,19821,624531,646,42304,142571,2,443088,115345,574298,393155,2105777,463023
217.5,347480,19628,231435,41577,187851,141026,3212,115638,89384,40923,3,196891,132235,374775,5993,360824,231950,187549,20786,617154,508,45837,132728,2,423205,107781,540224,358755,1948808,444588
218.5,347324,18070,198275,56258,184298,158916,3276,115096,77955,36704,1,187868,122591,362230,5091,353225,213117,179994,21961,602563,405,49726,123524,2,404701,101587,506796,326762,1782060,427906
219.5,346545,16745,168283,74979,180666,178626,3387,114919,67581,33116,0,179724,114350,349739,4374,345911,195838,172837,23372,581091,327,54002,114952,2,387528,96605,474221,297133,1610644,412930
220.5,345114,15625,141631,98216,176953,200087,3549,115093,58263,30080,0,172404,107377,337295,3804,338854,180064,166124,25044,553374,269,58696,106999,2,371636,92707,442684,269808,1439311,399609
221.5,343007,14686,118324,126206,173160,223146,3768,115600,49973,27525,0,165843,101553,324897,3350,332027,165730,159890,27011,520316,224,63833,99648,2,356974,89788,412341,244712,1272234,387886
222.5,340209,13906,98238,158820,169288,247553,4050,116422,42666,25388,0,159970,96771,312554,2990,325402,152758,154161,29309,483029,191,69437,92879,1,343490,87769,383319,221755,1112860,377701
223.5,336713,13270,81155,195451,165340,272958,4405,117542,36279,23616,0,154712,92939,300281,2706,318952,141066,148958,31977,442749,165,75528,86666,1,331131,86589,355717,200837,963830,368996
224.5,332519,12762,66794,234945,161321,298895,4845,118941,30741,22165,0,149994,89978,288101,2483,312650,130567,144292,35062,400762,146,82117,80984,2,319846,86206,329607,181846,826976,361711
225.5,327637,12372,54847,275607,157236,324795,5385,120596,25974,20995,0,145738,87820,276039,2311,306468,121172,140173,38613,358316,132,89205,75804,2,309583,86593,305031,164669,703367,355787
226.5,322082,12089,44997,315295,153091,349990,6043,122485,21898,20077,0,141867,86411,264127,2181,300381,112794,136605,42683,316550,122,96783,71099,2,300292,87739,282010,149185,593402,351168
227.5,315880,11907,36937,351608,148894,373736,6841,124582,18433,19384,0,138303,85708,252398,2089,294364,105348,133590,47328,276442,115,104828,66839,2,291921,89647,260539,135273,496924,347800
228.5,309064,11820,30384,382152,144653,395241,7806,126860,15504,18897,0,134969,85675,240889,2029,288394,98756,131128,52604,238767,111,113300,62995,2,284422,92331,240598,122813,413347,345630
229.5,301672,11824,25085,404830,140378,413706,8969,129287,13039,18600,0,131790,86286,229634,1999,282449,92942,129219,58570,204089,110,122143,59539,2,277747,95817,222148,111686,341777,344608
230.5,293749,11917,20816,418108,136079,428368,10367,131830,10973,18483,0,128690,87520,218671,1996,276509,87837,127862,65281,172759,111,131282,56445,3,271847,100141,205136,101780,281127,344684
231.5,285346,12100,17389,421212,131765,438549,12042,134450,9249,18537,0,125600,89363,208033,2020,270556,83377,127059,72785,144935,114,140623,53685,3,266675,105350,189502,92985,230215,345810
232.5,276517,12371,14645,414207,127447,443702,14045,137109,7812,18760,0,122451,91802,197753,2071,264576,79505,126811,81124,120610,120,150051,51236,3,262185,111497,175177,85198,187835,347936
233.5,267321,12734,12452,397951,123138,443459,16429,139763,6620,19149,0,119183,94823,187861,2150,258556,76168,127122,90327,99649,129,159437,49074,4,258329,118642,162085,78324,152819,351012
234.5,257818,13191,10704,373950,118846,437657,19256,142367,5631,19706,0,115740,98414,178381,2258,252485,73321,127998,100407,81821,142,168636,47177,5,255060,126851,150150,72275,124075,354984
235.5,248068,13746,9314,344123,114584,426363,22591,144874,4812,20434,0,112077,102556,169336,2398,246358,70922,129447,111354,66836,159,177492,45525,6,252330,136189,139293,66969,100612,359797
236.5,238134,14405,8214,310562,110361,409879,26503,147235,4135,21338,0,108158,107223,160743,2574,240169,68936,131479,123137,54373,181,185846,44099,8,250091,146724,129437,62334,81549,365389
237.5,228077,15172,7350,275293,106190,388720,31062,149400,3575,22426,0,103960,112380,152616,2790,233918,67330,134106,135692,44105,209,193536,42882,10,248291,158517,120504,58302,66120,371694
238.5,217956,16056,6679,240096,102078,363595,36334,151321,3113,23704,0,99472,117979,144962,3052,227605,66078,137343,148925,35711,246,200410,41856,13,246879,171621,112422,54815,53671,378637
239.5,207829,17063,6169,206395,98037,335354,42378,152951,2731,25181,0,94697,123956,137788,3366,221237,65156,141204,162706,28899,293,206327,41007,16,245798,186076,105120,51821,43648,386136
